spa,quz
¿las aceptarán por el solo hecho de que así lo harían la mayoría de sus compañeros?,¿yachaqmasinkuna chay yanapaykunata chaskikusqankuraykuchu paykunapas chaskikunkuman?
¿qué decidió hacer el hombre de la parábola de jesús para solucionar su problema?,¿imatan yuyaykuran rikch’anachiypi runa sasachayninta allichananpaq?
"volviendo a la ilustración de jesús, ¿qué hizo el hombre rico cuando su cosecha fue tan abundante que no tenía dónde almacenarla?","jesuspa rikch’anachiy ruwasqanpi, ¿imatan qhapaq runa ruwaran taqena wasinkunaman cosechasqan mikhuykuna manaña haykuqtin?"
decidió demoler sus graneros y construir otros mayores que le permitieran almacenar todos sus excedentes de grano y todas sus cosas buenas.,taqena wasikunata thunispa aswan hatuchaq wasikunata sayarichinanpaq yuyaykuran chayman llapa mikhuyninkunata kaqninkunatapas waqaychananpaq.
¿por qué se le llama “irrazonable ”?,¿imarayku chay runata nikun “mana yuyayniyoq ” nispa?
¿qué factor esencial pasó por alto el hombre de la parábola de jesús?,¿ima chanin ruwaytan jesuspa rikch’anachisqanpi runa qonqapusqa?
"ahora bien, según el relato de jesús, la sensación de seguridad que obtuvo el hombre rico fue solo eso, una sensación.","jesuspa nisqan hina, chay runa qhapaq kaywan allinpi kawsananta yuyaykusqanqa yanqapaqmi karan."
"por acertados que pudieran parecer sus planes, no tuvo presente un factor esencial: cuál era la voluntad de dios.","allin hinaña yuyaykusqan karan chaypas, qonqapusqan imachus diospa munaynin kasqanta."
"él tan solo pensaba en sí mismo, en estar tranquilo, comer, beber y gozar de la vida.","chay runaqa thak kaypi, mikhuypi, ukyaypi, kusisqa kawsanallanpin yuyaykuran."
"creía que, por el hecho de tener “muchas cosas buenas ”, también tendría“ muchos años ” para disfrutarlas.",‘ askha kaqniyoq ’ kasqanraykun yuyaykuran chaykunawan ‘ askha watakuna ’ kusisqa kawsananta.
"pero, lamentablemente, no sucedió así.",ichaqa manan chhaynachu karan.
"como jesús había dicho, “hasta cuando uno tiene en abundancia, su vida no resulta de las cosas que posee ”.","jesuspa nisqan hina, “runaq kawsayninqa manan askha kaqniyoq kaspallachu allin kanqa ”."
"aquella misma noche, todo aquello para lo que tanto había trabajado se vino abajo, pues dios le dijo: “irrazonable, esta noche exigen de ti tu alma.","chaymi rikch’anachiypi runapas chay tutapacha saqepunan karan llank’aspa tukuy imaymana huñusqanta, diosmi payta niran: “mana yuyayniyoq runa, kunan tutan wañupunki."
"entonces, ¿quién ha de tener las cosas que almacenaste? ”.","waqaychasqaykikunari, ¿pipaqtaq kanqa? ” nispa."
¿por qué se le llama “irrazonable ” al hombre de la parábola?,¿imaraykun rikch’anachiypi runata nikun mana yuyayniyoq nispa?
ahora llegamos al punto crucial de la ilustración de jesús.,kunanqa jesuspa rikch’anachiy ruwasqanta sut’inchasun.
dios calificó al hombre de irrazonable.,diosmi chay runata niran mana yuyayniyoq nispa.
el diccionario exegético del nuevo testamento explica que el adjetivo griego que se traduce “irrazonable ” en este pasaje siempre significa“ desvarío que se aparta de lo que es razonable ”.,diccionario exegético del nuevo testamento nisqa qelqan mana yuyayniyoq nisqa simita tupachin “allin yuyaymanta t’aqakuywan ”.
"también señala que, en la parábola, dios usa ese término para exponer “lo absurdo de los planes del rico para el futuro ”.","chay diccionarion nillantaq, rikch’anachiypi runatan dios nisqa mana yuyayniyoq nispa “hamuq tiempopaq qhapaq kaykunata yanqapaq huñusqanrayku ”, hinaspapas mana yuyayniyoq nisqa simiqa manan mana yachayniyoq kaywanchu tupan, aswanmi“ diosmanta yuyaypi karunchakuywan ”, nispa."
"dicho adjetivo no se aplica a alguien poco inteligente, sino a quien “rechaza la dependencia en que se halla de dios ”.","rikch’anachiypi runamanta nisqanta hinan laodicea (asia meno congregacionpi kaq cristianokunatapas jesús niran: “qanqa ninkin: ñoqaqa qhapaqmi kani, tukuy imapas allinkaman kawan, manan imapas pisiwanchu, nispa."
"lo que se dice del hombre rico en la parábola nos recuerda las palabras que jesús dirigió posteriormente a los cristianos del siglo primero que pertenecían a la congregación de laodicea (asia meno: “dices: ‘ soy rico y he adquirido riquezas y no necesito absolutamente nada ’, pero no sabes que eres desdichado y lastimoso y pobre y ciego y desnudo ”.","ichaqa manan reparakunkichu, huk khuyapayana, mana imayoq, wakcha, ñawsa, q’alalla kashasqaykita ”, nispa."
¿por qué no es garantía de que alguien vivirá “muchos años ” el hecho de que posea“ muchas cosas buenas ”?,¿imaraykun mana ‘ askha kaqniyoq ’ kaychu aswan ‘ askha watata ’ kawsachiwasunman?
conviene que tomemos esa lección muy en serio.,chay yachachikuypin allinta yuyaymanananchis.
¿nos podría pasar lo mismo que al hombre de la parábola?,¿urmasunmanchu chaypi ñoqanchispas?
"¿pudiéramos caer en el error de trabajar arduamente para conseguir “muchas cosas buenas ”, pero no hacer lo necesario para llegar a vivir“ muchos años ”?","rikch’anachiypi runa hinapaschá ‘ askha kaqniyoq ’ kanapaq sinchita llank’asunman, ‘ askha watakuna ’ kawsanapaqtaq ichaqa pisita ruwasunman."
"según la biblia, “las cosas valiosas no serán de ningún provecho en el día del furor ”, y“ el que confía en sus riquezas... él mismo caerá ”.","biblia nin: “qhapaq kaykunaqa juicio p’unchaypi manan imapaqpas valenqachu ”,“ qhapaq kayninman k’askakuqqa urmaykunqan ”, nispa ."
"de ahí que jesús añadiera al final de la parábola esta advertencia: “así pasa con el hombre que atesora para sí, pero no es rico para con dios ”.","chaymi jesusqa rikch’anachiyta willayta tukuspa kayta anyaran: “chhaynan payllapaq qhapaq kayta waqaychaqqa, diospa qhawarinanpaqmi ichaqa wakcha ”, nispa."
¿por qué no tiene sentido que uno base su esperanza y su seguridad en los bienes materiales?,¿imaraykun mana allinchu kanman qhapaq kaykunaman k’askakuy?
"al decir “así pasa ”, jesús indicó que lo que le sucedió al hombre rico también les sucederá a quienes centran su vida o sea, basan su esperanza y su seguridad exclusivamente en los bienes materiales.","“chhaynan ”, nispa nisqanwanmi jesús rikuchisharan qhapaq kayllawan allin kanankuta yuyaykuqkunatapas rikch’anachiypi qhapaq runata hina sucedenanta."
"el error radica en ‘ no ser rico para con dios ’, y no tanto en ‘ atesorar para sí ’.","‘ qhapaq kayta waqaychayqa ’ manan huchachu, ‘ diospa qhawarinanpaq wakcha ’ kaymi ichaqa mana allinchu."
"el discípulo santiago hizo una advertencia similar: “vamos, ahora, ustedes los que dicen: ‘ hoy o mañana iremos a tal ciudad y allí pasaremos un año, y negociaremos y haremos ganancias ’, cuando el caso es que ustedes no saben lo que será su vida mañana ”.","santiagopas chayman rikch’akuqtan nillarantaq: “wakinniykichismi ninkichis: kunanpas paqarinpas chay llaqtata risunchis, chaypitaq huk watata kamusun, qhatumusunchis, hinaspa qolqeta tarimusunchis, nispa, chayrayku uyariwaychis, qankunaqa manan yachankichischu imachus paqarin sucedenasuykichista ”."
¿qué les aconsejó?,¿ima nispan santiago yuyaycharan?
"por muy rica que sea una persona, no logrará nada a menos que sea rica para con dios.",qhapaq kaykunaqa yanqapaqmi kanqa diospaq mana qhapaq kaspaqa.
¿y qué significa ser rico para con dios?,¿imaynatan diospaq qhapaq kasunman?
ser rico para con dios,diospaq qhapaq kasun
¿qué nos ayudará a ser ricos para con dios?,¿imata ruwaspan diospaq qhapaq kasun?
"en su advertencia al final de la parábola, jesús contrastó dos ideas: la de ser rico para con dios y la de acumular tesoros para uno mismo, o sea, enriquecerse materialmente.",rikch’anachiyta tukushaspan jesús sut’incharan diospaq qhapaq kay aswan allin kasqanta kay pachapi qhapaq kaykuna huñuymantaqa.
lo que estaba diciendo es que no deberíamos centrar nuestra vida en la acumulación de riquezas o el disfrute de las posesiones.,chaywanmi rikuchiran ama qhapaq kaykuna huñuypi afanakunanchista.
"deberíamos, más bien, usar nuestros recursos para fortalecer y mejorar nuestra relación con jehová.",aswanmi tukuy atisqanchista ruwananchis jehová dioswan allinpi kananchispaq.
"recordemos que la biblia dice: “la bendición de jehová... eso es lo que enriquece, y él no añade dolor con ella ”.","biblia niwanchis: “señor diospa saminchayninqa qhapaqyachinmi, chay saminchayqa manan llakichinchu ”, nispa ."
¿en qué sentido “enriquece ” la bendición de jehová?,¿imaynapin jehová diospa saminchaynin ‘ qhapaqyachin ’?
"cuando jehová bendice a sus siervos, siempre les da lo mejor.",jehová diosqa allin kaqkunawanmi kamachinkunata saminchan.
"por ejemplo, la tierra que jehová les dio a los israelitas era una “tierra que mana ba leche y miel ”.","yachanapaq, israelitakunaman jehová diospa qosqan “hallp’aqa lecheq miel misk’iq askha kananmi ” karan."
"aunque también se había dicho algo semejante de egipto, la tierra de los israelitas era diferente por lo menos en un aspecto fundamental.","chhaynataña rimaranku egipto suyupi hallp’amanta chaypas, israelitakunaq tiyasqan hallp’aqa hukniraymi karan."
"“es una tierra de la que jehová tu dios está cuidando ”, dijo moisés al pueblo.",‘ chay hallp’ataqa señor diosmi mana saqespa makilla waqaychasharan ’ israelitakunaman moisespa nisqan hina.
"en otras palabras, la razón por la que los israelitas prosperarían era porque jehová los cuidaría.",jehová diospa waqaychasqanraykun israelitakunaqa qhapaqyananku karan.
"y así fue: cuando se mantenían fieles a jehová, recibían de él un sinfín de bendiciones y su vida era visiblemente mejor que la de las naciones vecinas.","chhaynan karan, jehová diosta kasukuspaqa askha saminchaykunatan chaskiranku, huk suyukunamantapas aswan allinpin karanku."
"está claro, pues, que la bendición de jehová “es lo que enriquece ”.","arí, jehová diospa saminchayninqa ‘ qhapaqyachikunmi ’ ."
¿con qué cuentan los que son ricos para con dios?,¿imaynapin tarikunku diospaq qhapaq kaqkuna?
la expresión “rico para con dios ” también se vierte“ rico ante dios ” (nácar colung o “rico a los ojos de dios ” (biblia de améric.,"diospaq qhapaq kay nisqa rimaymi t’ikrakullantaq “diospa qhawarinanpaq qhapaq kay ” nispa (biblia de américa, españo."
"por lo general, los que son ricos materialmente se preocupan por la imagen que proyectan ante los demás, quieren ser importantes a los ojos de los hombres, y suelen reflejarlo en su modo de vivir.","qhapaqkunaqa allin qhawarisqa kaytan munanku, chaytataq imayna kawsasqankupi rikuchinku."
"para impresionar a los demás, recurren a lo que la biblia denomina “la exhibición ostentosa del medio de vida de uno ”.",runakunaq qhawarinanta munaspan ‘ kay pacha kawsaypi hatunchakunku ’.
"por su parte, los que son ricos para con dios cuentan con su aprobación, su favor y su inmensa bondad inmerecida, y tienen una estrecha relación personal con él.","diospaq qhapaq kaqkunan ichaqa paypa allin qhawarisqan, khuyapayasqan ima kanku."
lo que ahora nos queda por averiguar es qué tenemos que hacer para ser ricos a los ojos de dios.,¿imatawanmi ruwana diospaq qhapaq kananchispaq?
ricos a los ojos de dios,diospa qhawarinanpaq qhapaq kay
¿qué tenemos que hacer a fin de ser ricos para con dios?,¿imatawanmi ruwananchis diospaq qhapaq kananchispaq?
"el hombre de la ilustración de jesús hizo planes y trabajó mucho con el único fin de enriquecerse, y por eso se le llamó “irrazonable ”.","rikch’anachiypi runaqa qhapaq kaykunata tariyllapin yuyaykuran chayllapaqtaqmi llank’aranpas, chayrayku “mana yuyayniyoq runa ” nispa suticharan."
"de modo que, a fin de ser ricos para con dios, hemos de esforzarnos por participar de lleno en las actividades que, a los ojos de dios, realmente merecen la pena y tienen valor.",chaymi diospaq qhapaq kanapaqqa kallpachakunanchis aswan chaniyoq llank’aykunapi yanapakunanchispaq.
"una de ellas la vemos en este mandato de jesús: “vayan, por lo tanto, y hagan discípulos de gente de todas las naciones ”.","huknin llank’aymantan jesús khaynata kamachiran: “rispa llapa suyu runakunata yachachimuychis, yachachisqaykuna kanankupaq ”, nispa."
"si empleamos nuestro tiempo, energías y talentos en la predicación del reino y la obra de hacer discípulos en lugar de utilizarlos para prosperar económicamente , estaremos haciendo una buena inversión, una que nos proporcionará cuantiosos beneficios espirituales.","qhapaq kaykunata maskhaypi tiemponchista kallpanchistapas usuchishanamantaqa diospa reinonmantan willamunanchis munaqkunamantaq bibliamanta yachachimunanchis, chhayna ruwayqa iñiyninchispin yanapawasun."
las siguientes experiencias son prueba de ello.,chayta qatimuq experienciakunapi rikusun .
"en efecto, dios les había hecho a aquellos cristianos una gran demostración de bondad inmerecida.",‘ khuyapayakuq ’ kayninpin diosqa chay sumaq suyakuyta paykunaman qoran.
cuente una experiencia que indique cuál es la manera de vivir que nos hace ricos a los ojos de dios.,"¿imaynapin diospaq qhapaq kasunman?, chaymanta huk experienciata willay."
veamos el caso de un cristiano que reside en un país asiático.,qhawarisun asia nisqapi tiyaq cristianomanta.
tenía un empleo muy bien pagado como técnico informático.,payqa computadorakunawan llank’asqanpin allin sueldota chaskiq.
pero el trabajo le ocupaba casi todo el tiempo y se sentía espiritualmente empobrecido.,ichaqa sinchi llank’asqanwanmi iñiyninpi chiriyapusharan.
es cierto que también hay muchos hombres que son golpeados por mujeres.,esposankuwan maqachikuq qharikunapas kanmi.
"sin embargo, en la mayoría de los casos denunciados de violencia doméstica, los acusados son hombres.",ichaqa aswan askha denuncia churaqkunaqa qosankuwan maqachikuq warmikunan kanku.
¿por qué hay mujeres que deciden seguir viviendo con un cónyuge violento?,¿imaraykun qosankuña maqashaqtinpas mana t’aqakunkuchu?
"con frecuencia, es por temor a que el abuso empeore si lo abandonan.",manchakunkun saqeqtinku astawan maqachikunankumanta.
otras no se atreven a irse porque temen que sus amigos y parientes se nieguen a creer que la situación en casa sea tan grave y se pongan contra ellas.,"wakinqa manchakunkun ripuqtinkuqa amigonkunapas, familiankupas paykuna contra kapunankumanta, manataqmi reparankuchu wasinkupi kawsayninkuqa mana allin kasqanta."
"por ejemplo, isabel, mencionada al principio de este artículo, dejó a su esposo.",qallariypi rimasqanchis isabelqa qosanta saqespan ripurqan.
